,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Jayson Tatum,25,2,2,40.0,11.0,22.0,0.5,3.0,9.0,0.333,8.0,13.0,0.615,0.568,3.0,4.5,0.667,0.0,9.5,9.5,4.5,1.5,0.5,3.0,3.5,28.0
1,2,Jaylen Brown,27,2,2,36.0,7.5,16.5,0.455,1.5,5.5,0.273,6.0,11.0,0.545,0.5,2.5,4.0,0.625,1.0,5.0,6.0,3.0,1.5,0.0,3.0,3.0,19.0
2,3,Jrue Holiday,33,2,2,35.5,5.5,11.5,0.478,1.0,4.5,0.222,4.5,7.0,0.643,0.522,1.0,1.0,1.0,2.0,5.0,7.0,4.5,0.0,2.0,1.5,2.5,13.0
3,4,Kristaps Porziņģis,28,2,2,34.0,7.0,13.5,0.519,3.5,7.5,0.467,3.5,6.0,0.583,0.648,6.0,7.0,0.857,2.0,6.5,8.5,0.5,1.5,2.5,1.0,5.0,23.5
4,5,Derrick White,29,2,2,34.0,6.5,10.5,0.619,3.0,5.0,0.6,3.5,5.5,0.636,0.762,4.0,5.0,0.8,1.5,4.5,6.0,2.5,1.5,2.0,1.5,2.0,20.0
5,6,Al Horford,37,2,0,25.0,1.5,5.0,0.3,1.0,2.5,0.4,0.5,2.5,0.2,0.4,0.0,0.0,,3.0,5.5,8.5,2.0,0.0,0.5,3.0,1.5,4.0
6,7,Oshae Brissett,25,1,0,14.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,3.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0
7,8,Sam Hauser,26,2,0,12.0,0.5,3.0,0.167,0.5,3.0,0.167,0.0,0.0,,0.25,0.0,0.0,,0.0,1.5,1.5,0.0,0.5,0.5,0.0,1.0,1.5
8,9,Payton Pritchard,26,2,0,12.0,1.0,2.5,0.4,0.5,2.0,0.25,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.5,3.5
9,10,Luke Kornet,28,1,0,8.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
